iter	Passed	Remaining
672	4502	2187
673	4510	2181
674	4516	2174
675	4522	2167
676	4531	2161
677	4537	2155
678	4544	2148
679	4552	2142
680	4559	2135
681	4564	2128
682	4572	2122
683	4577	2114
684	4585	2108
685	4590	2101
686	4597	2094
687	4604	2088
688	4609	2080
689	4617	2074
690	4623	2067
691	4628	2060
692	4634	2053
693	4639	2045
694	4649	2040
695	4658	2034
696	4665	2028
697	4672	2021
698	4680	2015
699	4689	2009
700	4694	2002
701	4703	1996
702	4713	1991
703	4718	1984
704	4725	1977
705	4731	1970
706	4736	1963
707	4745	1957
708	4752	1950
709	4759	1943
710	4766	1937
711	4771	1930
712	4778	1923
713	4785	1916
714	4790	1909
715	4799	1903
716	4807	1897
717	4812	1889
718	4820	1884
719	4829	1878
720	4835	1871
721	4844	1865
722	4857	1860
723	4866	1855
724	4874	1849
725	4883	1842
726	4887	1835
727	4895	1828
728	4899	1821
729	4905	1814
730	4910	1806
731	4916	1800
732	4921	1792
733	4927	1785
734	4931	1778
735	4937	1771
736	4945	1764
737	4950	1757
738	4957	1750
739	4961	1743
740	4967	1736
741	4972	1728
742	4980	1722
743	4987	1716
744	4993	1709
745	5000	1702
746	5004	1694
747	5010	1688
748	5015	1680
749	5022	1674
750	5027	1666
751	5034	1660
752	5040	1653
753	5046	1646
754	5058	1641
755	5065	1635
756	5069	1627
757	5076	1620
758	5080	1613
759	5087	1606
760	5091	1599
761	5099	1592
762	5104	1585
763	5109	1578
764	5114	1570
765	5119	1563
766	5124	1556
767	5129	1549
768	5133	1542
769	5140	1535
770	5144	1527
771	5150	1521
772	5155	1513
773	5161	1507
774	5165	1499
775	5171	1492
776	5176	1485
777	5181	1478
778	5186	1471
779	5192	1464
780	5197	1457
781	5202	1450
782	5207	1443
783	5212	1436
784	5217	1428
785	5222	1421
786	5228	1415
787	5233	1408
788	5238	1400
789	5243	1393
790	5247	1386
791	5252	1379
792	5258	1372
793	5262	1365
794	5269	1358
795	5273	1351
796	5279	1344
797	5284	1337
798	5290	1330
799	5294	1323
800	5300	1316
801	5305	1309
802	5311	1303
803	5316	1295
804	5322	1289
805	5327	1282
806	5334	1275
807	5339	1268
808	5345	1262
809	5349	1254
810	5356	1248
811	5361	1241
812	5367	1234
813	5371	1227
814	5377	1220
815	5381	1213
816	5386	1206
817	5390	1199
818	5395	1192
819	5401	1185
820	5405	1178
821	5410	1171
822	5414	1164
823	5420	1157
824	5424	1150
825	5433	1144
826	5438	1137
827	5444	1130
828	5451	1124
829	5455	1117
830	5460	1110
831	5466	1103
832	5472	1097
833	5477	1090
834	5484	1083
835	5489	1076
836	5495	1070
837	5499	1063
838	5506	1056
839	5509	1049
840	5515	1042
841	5519	1035
842	5524	1028
843	5529	1022
844	5533	1015
845	5538	1008
846	5542	1001
847	5549	994
848	5553	987
849	5560	981
850	5567	974
851	5574	968
852	5583	962
853	5589	955
854	5594	948
855	5600	942
856	5605	935
857	5614	929
858	5619	922
859	5626	915
860	5631	909
861	5637	902
862	5646	896
863	5651	889
864	5660	883
865	5668	877
866	5673	870
867	5680	863
868	5687	857
869	5691	850
870	5697	843
871	5708	837
872	5721	832
873	5731	826
874	5741	820
875	5748	813
876	5756	807
877	5764	801
878	5770	794
879	5777	787
880	5786	781
881	5792	774
882	5798	768
883	5806	761
884	5812	755
885	5818	748
886	5829	742
887	5838	736
888	5850	730
889	5856	723
890	5860	716
891	5865	710
892	5870	703
893	5874	696
894	5879	689
895	5883	682
896	5890	676
897	5894	669
898	5900	662
899	5905	656
900	5915	649
901	5920	643
902	5925	636
903	5930	629
904	5937	623
905	5944	616
906	5951	610
907	5960	603
908	5971	597
909	5977	591
910	5982	584
911	5989	577
912	5993	571
913	5999	564
914	6003	557
915	6009	551
916	6013	544
917	6020	537
918	6025	531
919	6031	524
920	6035	517
921	6041	511
922	6046	504
923	6051	497
924	6055	490
925	6059	484
926	6066	477
927	6072	471
928	6077	464
929	6082	457
930	6086	451
931	6091	444
932	6096	437
933	6100	431
934	6107	424
935	6116	418
936	6121	411
937	6129	405
938	6134	398
939	6141	391
940	6145	385
941	6152	378
942	6157	372
943	6163	365
944	6171	359
945	6177	352
946	6185	346
947	6194	339
948	6200	333
949	6206	326
950	6214	320
951	6219	313
952	6228	307
953	6237	300
954	6246	294
955	6252	287
956	6260	281
957	6270	274
958	6278	268
959	6283	261
960	6291	255
961	6302	248
962	6317	242
963	6326	236
964	6336	229
965	6343	223
966	6347	216
967	6355	210
968	6359	203
969	6366	196
970	6376	190
971	6385	183
972	6390	177
973	6398	170
974	6404	164
975	6409	157
976	6415	151
977	6419	144
978	6424	137
979	6430	131
980	6436	124
981	6441	118
982	6450	111
983	6454	104
984	6462	98
985	6469	91
986	6474	85
987	6481	78
988	6523	72
989	6552	66
990	6563	59
991	6572	53
992	6580	46
993	6590	39
994	6610	33
995	6617	26
996	6625	19
997	6630	13
998	6636	6
999	6644	0
